"year_cat","mean","min","max","range","sd"
"B",739341.267693905,0,4.2e+08,4.2e+08,8673101.68894382
"C",661480.862256152,0,807185500,807185500,11654426.9481972
"D",535377.999170279,0,8.4e+07,8.4e+07,3509625.25929086
"A",451799.891472081,0,91750000,91750000,3242597.32145894
